Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm)
2015-02-17 18:34:53,Running,9.86,55:53,5:40,10.58,60,
2015-02-12 18:22:44,Running,6.75,36:25,5:24,11.12,42,
2015-02-09 18:40:18,Running,9.94,55:22,5:34,10.77,61,
2015-02-04 18:31:10,Running,10.23,55:10,5:24,11.12,59,
2015-02-02 18:31:00,Running,9.91,58:57,5:57,10.08,259,
2015-01-31 09:30:04,Running,6.55,40:01,6:06,9.83,37,
2015-01-28 18:43:29,Running,10.02,55:13,5:31,10.89,61,
2015-01-26 18:30:18,Running,13.11,1:14:30,5:41,10.55,76,
2015-01-14 17:50:00,Running,9.78,52:45,5:24,11.12,51,
2015-01-12 18:20:00,Running,9.78,51:45,5:18,11.34,51,
2015-01-03 17:20:00,Running,9.78,52:45,5:24,11.12,51,
2014-12-26 17:50:00,Running,9.78,49:45,5:05,11.79,51,
2014-12-24 18:18:00,Running,6.59,32:00,4:51,12.35,33,
2014-12-08 16:18:00,Running,6.63,32:00,4:49,12.44,33,
2014-12-03 18:18:00,Running,6.63,32:00,4:49,12.44,33,
2014-12-01 18:18:00,Running,6.63,32:00,4:49,12.44,33,
2014-11-25 17:50:00,Running,9.78,51:45,5:18,11.34,51,
2014-11-19 18:18:00,Running,6.22,31:00,4:59,12.03,33,
2014-11-11 15:50:00,Running,9.78,49:45,5:05,11.79,51,
2014-11-04 18:18:00,Running,6.22,32:00,5:09,11.66,33,
2014-10-30 17:50:00,Running,9.78,49:45,5:05,11.79,51,
2014-10-27 18:30:00,Running,12.98,1:05:45,5:04,11.85,67,
2014-10-22 17:50:00,Running,9.61,49:45,5:10,11.59,54,
2014-10-20 18:10:00,Running,9.61,51:17,5:20,11.25,54,
2014-10-14 18:10:00,Running,12.82,1:02:45,4:54,12.26,70,
2014-10-09 18:10:00,Running,9.61,52:17,5:26,11.03,54,
2014-10-07 19:10:00,Running,9.61,49:17,5:08,11.7,54,
2014-09-28 10:01:30,Running,21.32,1:45:27,4:57,12.13,447,
2014-09-23 18:10:00,Running,12.82,1:02:45,4:54,12.26,70,
2014-09-18 18:12:00,Running,19.19,1:42:03,5:19,11.29,111,
2014-09-15 18:30:00,Running,9.55,48:54,5:07,11.72,51,
2014-09-11 19:10:00,Running,9.61,48:22,5:02,11.93,54,
2014-09-08 18:00:00,Running,19.19,1:42:03,5:19,11.29,111,
2014-09-04 18:55:54,Running,9.61,50:22,5:14,11.45,54,
2014-09-01 18:46:00,Running,15.59,1:23:41,5:22,11.18,110,
2014-08-29 18:56:02,Cycling,20.7,1:00:37,2:56,20.49,113,
2014-08-28 18:10:00,Running,12.82,1:05:45,5:08,11.7,70,
